title;rating;review count;location;Gellak manicure prijs;Duur (min)
Tip Top;3,5;363 reviews;Korte Lijnbaan 9b, Rotterdam, 3012EC;35;40
Priority Beauty;5;12 reviews;Katendrechtse Lagedijk 465D, Rotterdam, 3082 GC;50;75
Amsterdam Nail Art studio - Elandsgracht;4,2;530 reviews;Elandsgracht 1A, Amsterdam, 1016 TM;40;30
SR Beauty;5;6 reviews;Schumanflat 119, Uithoorn, 1422 GA ;36;90
NAGL STUDIO;4;1154 reviews;Lange Elisabethstraat 34, Utrecht, 3511JD;35;30
Maliwan Beauty;4,9;9 reviews;Frederik Hendriklaan 83b, Den Haag, 2582 VB;;
Nails by Lynnie;5;6 reviews;Socrateslaan 2, Utrecht, 3522 EG;30;30
Beau Experts;5;43 reviews;Hoofdstraat 104, Velp, 6881TJ;35;40
Skin & Beauty Experts;5;8 reviews;Nieuwe Burg 31, Middelburg, 4331AG;;
Beauty Cryo Spot;4,6;565 reviews;Kinkerstraat 146, Amsterdam, 1053 EG;29,95;35
Garra Rufa Hair & Beauty Centre;4,7;1529 reviews;Begijnenstraat 21, Beverwijk, 1941 BR;34,5;35
Beauty Salon Adriana;4,5;6 reviews;Vriesestraat 92, Dordrecht, 3311 NR ;27,5;45
Refresh Nederland;4,8;1318 reviews;Vredebest 22 , Gouda, 2801 AS;35;60
&BROWS. EAST;4,4;471 reviews;Javastraat 57, Amsterdam, 1094 HA;28;60
Nails by Huong;4,3;410 reviews;Steenweg 35, Utrecht, 3511 JL;35;40
BeautySahar;4,1;100 reviews;Steenstraat 103, Arnhem, 6828 CH ;30;60
Smart Beauty Lab;4,9;1214 reviews;Bilderdijkstraat 143HS, Amsterdam, 1053 KN ;42,75;50
Polish nail bar;4,6;625 reviews;Maasstraat 143, Amsterdam, 1079BE;28;30
VN Nails;4,8;1045 reviews;Korvelseweg 46, Tilburg, 5025 JJ;44,5;45
Carpe Diem Schoonheidsverzorging @Inches;4,8;193 reviews;Torenstraat 156, Den Haag, 2513 BW;55;70
Byderma;4,8;1745 reviews;Kon. Julianaplein 12, Voorburg, 2274JD;40;60
Sunfit Beauty Care - De Pijp;4,5;1879 reviews;Daniël Stalpertstraat 77H, Amsterdam, 1072 XC;44,5;50
Natural Nails by M.Herrera;4,8;107 reviews;Middenweg 235-3, Amsterdam, 1098 AP ;30;60
Blu Nail Bar;4;801 reviews;Albert Cuypstraat 214-H, Amsterdam, 1073BM;37;30
Beauty Field;4,8;749 reviews;Jan Tooropstraat 485, Amsterdam, 1061AE;60;75
Uniek Nagel-Rose;4,7;528 reviews;Vijf meiplein 128, Leiden, 2321BS;42,5;90
RITUALS Body Spa - Maastricht;4,7;2384 reviews;Grote Staat 37, Maastricht, 6211CT ;44;75
Barbershop Alles in bedrijf;4,9;1298 reviews;Slotermeerlaan 125, Amsterdam, 1063 JN;35;45
Amsterdam Nail Art Studio - Spuistraat;4,3;1360 reviews;Spuistraat 120, Amsterdam, 1012VA;40;30
BeautybyAaf;5;5 reviews;Parkweg 22a, Utrecht, 3451 RJ;25;60
Namie Nails & Lashes;4,6;311 reviews;Ijburglaan 1499, Amsterdam, 1087 KM;33;35
Tokyo Nailstory;4,7;213 reviews;Vaartweg 15, Hilversum, 1211 JD;35;35
Nails Hair Classy;4,8;492 reviews;Theresiastraat 105, Den Haag, 2593 AD;45;60
Secret Star Cosmetics;4,7;1492 reviews;Breestraat 1, Leiden, 2311 CG;50;60
Sunday's Hoorn;4,7;304 reviews;Stationsweg 8, Hoorn, 1621 HZ;22,5;45
Koi Thaise Massage;4,8;201 reviews;De linie 3K, Capelle aan den Ijssel, 2905 AX;35;80
House of Rituals Body Spa - Amsterdam;4,6;4384 reviews;Spui 10, Amsterdam, 1012 PP;37,4;50
Sun & Nails Studio;3,6;793 reviews;Winkelcentrum Woensel 116, Eindhoven, 5625 AG;30;30
Classic Care Amsterdam;4,9;328 reviews;Overtoom 336H, Amsterdam, 1054 JE;60;60
Jellyhouse;4,9;169 reviews;Jonker Fransstraat 101A, Rotterdam, 3031 AP;50;80
Laque Boutique;4,8;1147 reviews;Willemsparkweg 4, Amsterdam, 1071HD;40;45
Crystalyn Beauty;4,8;450 reviews;Rijswijkseweg 302, Den Haag, 2516 ER;45;60
Colorhug Centrum Beauty Studio;4,7;1070 reviews;Nieuwezijds Voorburgwal 130-A, Amsterdam, 1012 SH;26,25;35
Jari Design Nails;4,7;110 reviews;Zadelmakerstraat 5, Almere, 1315 AK;40;40
Beauty en Relax;4,2;87 reviews;Oudegracht 82, Utrecht, 3511 AT;30;30
Beauty by Megan;4,5;4225 reviews;Overtoom 250, Amsterdam, 1054DP;37,8;45
Crème Treatment Store;4,4;820 reviews;Nachtegaalstraat 48, Utrecht, 3581 AK ;37,5;40
RITUALS Body Spa Heemstede;4,6;2417 reviews;Binnenweg 130, Heemstede, 2101JP ;44;50
Anni Lash Nail & Brow;4,3;371 reviews;Van Woustraat 236, Amsterdam, 1073 NC;35;50
Kapsalon Bianco Rozengracht 196;4,3;2067 reviews;Rozengracht 196, Amsterdam, 1016NK;35;40
Mirai Nails;4,9;321 reviews;Spuistraat 56, Amsterdam, 1012 TV;40;90
IT'S A BEAUTY AFFAIR;4,7;4308 reviews;Van Woustraat 195-197, Amsterdam, 1074AN;42,5;40
Waxing Novia Amsterdam;4,9;106 reviews;Raadhuisstraat 41, Amsterdam, 1016 DD;36;75
San Skills in Beauty;4,9;664 reviews;Geleenstraat 3h, Amsterdam, 1078LB;47,5;60
Hair by Jaafar;4,6;172 reviews;IJburglaan 1285, Amsterdam, 1087 GJ;80;60
Mady Lady;4,4;296 reviews;Korte Poten 20, Den Haag, 2511 ED;57;60
Cryo Beauty Hub Amsterdam (zeilstraat);4,2;2176 reviews;Zeilstraat 19, Amsterdam, 1075 SB;29,95;35
Sunfit Beauty Care x Buitenveldert;4,7;344 reviews;Buitenveldertselaan 104, Amsterdam, 1081 AB;47,5;50
Advance Microblading & Nails;4,8;982 reviews;Eerste Oosterparkstraat 101H, Amsterdam, 1091GW;35;45
Beautysalon Demi;4,7;184 reviews;Kristalplein 39, Delft, 2614 TX;;
Aygin;4,4;149 reviews;Jan Tooropstraat 15D, Amsterdam, 1062BK;32,5;35
Beauty Lounge Amersfoort;4,7;1447 reviews;Koestraat 16a, Amersfoort, 3811HK;41;45
Beautyfabrique;4,6;1893 reviews;Adriaen van Ostadelaan 45, Utrecht, 3583 AB;45;50
Beauty-N-Joy;4,6;2458 reviews;Ariane 50, Amersfoort, 3824MB;64,45;45
Fallachi beauty;4,8;783 reviews;Strijpsestraat 196, Eindhoven, 5616 GW;45;45
Blue Swan Health & Thaise Massage;4,9;259 reviews;Schijfse Vaartkant 1b, Rucphen, 4715 EK;;
Wemona Beauty Salon;4,8;373 reviews;Nieuwzijds Voorburgwal 156, Amsterdam, 1012SJ;;
All in 1 Beauty;4,4;2913 reviews;Rechtestraat 50B, Eindhoven, 5611 GR;46;60
M.O.M Nail Lounge;4,7;335 reviews;Kerkstraat 87, Hilversum, 1211 CM;35;35
Beauty Salon One Magic Point;4,9;49 reviews;Houtrijkstraat 340, Amsterdam, 1013 DX;41;90
All in 1 Beauty - Helmond;4,4;1220 reviews;Stationsstraat 88, Helmond, 5701MK ;46;60
Exquis;4,6;322 reviews;Breedstraat 10, Maarssen, 3603 BA;58;75
7 Nails Lijnmarkt;4,4;206 reviews;Lijnmarkt 44, Utrecht, 3511 KJ ;29;30
Parfumerie & Schoonheidssalon Beauty-K;4,8;319 reviews;Plein van Zuid 26, Soest, 3768ED;59;50
Beauty ME;4,6;1007 reviews;Koningsstraat 13, Amsterdam, 1011 ES;38;45
Project Cosmetology;4,8;754 reviews;Foeliestraat 2, Amsterdam, 1011TM;44;40
All in the beauty;4,7;158 reviews;Mr. Abbink Spainkstraat 4, IJsselstein, 3401ZH;;
Natural Beauty Care;4,3;902 reviews;Turfmarkt 14, Den Haag, 2511 CA;57,5;60
Love Nail Bar Almere;4,6;227 reviews;Cinemadreef 280, Almere, 1325 ES;20;20
Parmis Hair & Beauty;4,7;924 reviews;Kruisstraat 33, Delft, 2611 ML;40;50
Nagelstudio Victoria;4,8;210 reviews;Tommaso Albinonistraat 52, Amsterdam, 1083HM ;30;40
Aicaremoxa;4,7;132 reviews;Buitenveldertselaan 40, Amsterdam, 1081 AA ;;
Helemaal Mooii Lifestyle Oud-Beijerland;4,6;1010 reviews;Scheepmakershaven 2, Oud-Beijerland, 3261KN;57,5;50
JDz Nails;4,9;117 reviews;Sarphatistraat 129, Amsterdam, 1018 WB;45;45
De Loods Beauty;4,7;1144 reviews;Dorpsstraat 29, Mijdrecht, 3641 EA;;
Jill Summer Beauty;4,9;657 reviews;Herman Teirlinckstraat 28, Rotterdam, 3069JT ;43;50
5.6.18 Nail Studio;4,8;1251 reviews;Koninginneweg 227, Amsterdam, 1075 CS;60;90
Hello Nails By Kate;5;229 reviews;Schiedamsedijk 3, Rotterdam, 3011 EB;45;45
Nature Skin Cosmetics;4,8;329 reviews;Rozengracht 72H, Amsterdam, 1016 NE ;60;55
Bij Biki;4,9;323 reviews;Blankenbergestraat 57, Amsterdam, 1066TK ;31;105
Asia Wellness & Spa - Voorschoten;4,7;25 reviews;Schoolstraat 87, Voorschoten, 2251 BG;;
YOUYOU Kliniek;4,7;73 reviews;Pleinweg 153A, Rotterdam, 3081 JL;35;60
Reward-Beauty;4,9;695 reviews;Spaarndamseweg 120 / A7, Haarlem, 2021KA;15;25
Schoonheidssalon 1993;4,8;928 reviews;Gentsestraat 36, Den Haag, 2587 HT;49,5;60
Beauty by Mica;4,7;239 reviews;Hooftstraat 57, Alphen aan den Rijn, 2406 GE;36;40
Denise CosmetiXs;4,9;435 reviews;J.S bachlaan 167 , Leidschendam, 2264 WD;32,5;45
Studio Giovanna;4,7;1208 reviews;Koningsweg 2-27, Soest, 3762 EC;60;80
Anne Hairstyling & Beautycenter;4,6;138 reviews;Joris Ivenslaan 187, Almere Stad, 1325 RJ ;;
Beauty Boutique;4,8;794 reviews;Albardastraat 50, Den Haag, 2555XS;;
Sunny's Beauty Spot;4,7;606 reviews;Eerste Sweelinckstraat 34, Amsterdam, 1073 CM;45;35
Beauty Bar Baarn;4,8;574 reviews;Laanstraat 16A, Baarn, 3743BE;;
Schoonheid by Meire;4,8;125 reviews;Larenseweg 39, Hilversum, 1221 CJ ;35;35
C-Mi Beauty;4,6;892 reviews;Herenwaard 105a, Zoetermeer, 2716 XT;45;55
